X	Y	Z		X	Y	Z
2039	2259	3110		-0,0610879121	1,520010989	7,635989011
2042	2286	3104		-0,0395274725	1,7140549451	7,5928681319
2046	2269	3103		-0,0107802198	1,5918791209	7,5856813187
2056	2278	3109		0,0610879121	1,6565604396	7,6288021978
2040	2273	3107		-0,0539010989	1,6206263736	7,6144285714
2041	2288	3111		-0,0467142857	1,7284285714	7,6431758242
2031	2271	3108		-0,1185824176	1,6062527473	7,6216153846
2049	2281	3107		0,0107802198	1,6781208791	7,6144285714
2028	2260	3103		-0,1401428571	1,5271978022	7,5856813187
2039	2289	3095		-0,0610879121	1,7356153846	7,5281868132
2041	2280	3093		-0,0467142857	1,6709340659	7,5138131868
2035	2287	3104		-0,0898351648	1,7212417582	7,5928681319
2035	2278	3103		-0,0898351648	1,6565604396	7,5856813187
2049	2280	3113		0,0107802198	1,6709340659	7,6575494505
2032	2271	3107		-0,1113956044	1,6062527473	7,6144285714
2046	2289	3119		-0,0107802198	1,7356153846	7,7006703297
2030	2273	3103		-0,1257692308	1,6206263736	7,5856813187
2040	2292	3102		-0,0539010989	1,7571758242	7,5784945055
2037	2269	3099		-0,0754615385	1,5918791209	7,5569340659
2042	2275	3115		-0,0395274725	1,635	7,6719230769
2039	2279	3099		-0,0610879121	1,6637472527	7,5569340659
2039	2285	3106		-0,0610879121	1,7068681319	7,6072417582
2024	2275	3088		-0,1688901099	1,635	7,4778791209
2044	2288	3118		-0,0251538462	1,7284285714	7,6934835165
2037	2287	3096		-0,0754615385	1,7212417582	7,5353736264
2047	2299	3105		-0,0035934066	1,8074835165	7,6000549451
2027	2274	3111		-0,1473296703	1,6278131868	7,6431758242
2049	2280	3105		0,0107802198	1,6709340659	7,6000549451
2018	2280	3105		-0,212010989	1,6709340659	7,6000549451
2043	2297	3109		-0,0323406593	1,7931098901	7,6288021978
2044	2279	3103		-0,0251538462	1,6637472527	7,5856813187
2044	2294	3107		-0,0251538462	1,7715494505	7,6144285714
2029	2282	3104		-0,132956044	1,6853076923	7,5928681319
2044	2276	3106		-0,0251538462	1,6421868132	7,6072417582
2037	2281	3097		-0,0754615385	1,6781208791	7,5425604396
2052	2291	3111		0,0323406593	1,749989011	7,6431758242
2038	2286	3105		-0,0682747253	1,7140549451	7,6000549451
2039	2288	3104		-0,0610879121	1,7284285714	7,5928681319
2032	2276	3111		-0,1113956044	1,6421868132	7,6431758242
2049	2287	3109		0,0107802198	1,7212417582	7,6288021978
2027	2277	3119		-0,1473296703	1,6493736264	7,7006703297
2044	2291	3108		-0,0251538462	1,749989011	7,6216153846
2043	2276	3100		-0,0323406593	1,6421868132	7,5641208791
2038	2287	3112		-0,0682747253	1,7212417582	7,6503626374
2034	2271	3099		-0,097021978	1,6062527473	7,5569340659
2044	2282	3095		-0,0251538462	1,6853076923	7,5281868132
2038	2290	3091		-0,0682747253	1,7428021978	7,4994395604
2043	2295	3107		-0,0323406593	1,7787362637	7,6144285714
2038	2281	3099		-0,0682747253	1,6781208791	7,5569340659
2043	2293	3089		-0,0323406593	1,7643626374	7,4850659341
2022	2270	3100		-0,1832637363	1,5990659341	7,5641208791
2039	2289	3104		-0,0610879121	1,7356153846	7,5928681319
2038	2286	3107		-0,0682747253	1,7140549451	7,6144285714
2033	2297	3119		-0,1042087912	1,7931098901	7,7006703297
2029	2275	3099		-0,132956044	1,635	7,5569340659
2043	2280	3111		-0,0323406593	1,6709340659	7,6431758242
2029	2282	3097		-0,132956044	1,6853076923	7,5425604396
2039	2283	3105		-0,0610879121	1,6924945055	7,6000549451
2027	2282	3104		-0,1473296703	1,6853076923	7,5928681319
2033	2295	3104		-0,1042087912	1,7787362637	7,5928681319
2042	2281	3097		-0,0395274725	1,6781208791	7,5425604396
2041	2300	3101		-0,0467142857	1,8146703297	7,5713076923
2028	2265	3094		-0,1401428571	1,5631318681	7,521
2049	2301	3103		0,0107802198	1,8218571429	7,5856813187
2032	2271	3099		-0,1113956044	1,6062527473	7,5569340659
2047	2297	3105		-0,0035934066	1,7931098901	7,6000549451
2017	2275	3110		-0,2191978022	1,635	7,635989011
2051	2283	3119		0,0251538462	1,6924945055	7,7006703297
2032	2272	3113		-0,1113956044	1,6134395604	7,6575494505
2054	2277	3105		0,0467142857	1,6493736264	7,6000549451
2024	2271	3097		-0,1688901099	1,6062527473	7,5425604396
2054	2287	3107		0,0467142857	1,7212417582	7,6144285714
2035	2263	3110		-0,0898351648	1,5487582418	7,635989011
2049	2288	3116		0,0107802198	1,7284285714	7,6791098901
2043	2275	3107		-0,0323406593	1,635	7,6144285714
2047	2288	3114		-0,0035934066	1,7284285714	7,6647362637
2033	2265	3115		-0,1042087912	1,5631318681	7,6719230769
2053	2291	3108		0,0395274725	1,749989011	7,6216153846
2026	2282	3105		-0,1545164835	1,6853076923	7,6000549451
2052	2287	3108		0,0323406593	1,7212417582	7,6216153846
2035	2290	3117		-0,0898351648	1,7428021978	7,6862967033
2043	2285	3112		-0,0323406593	1,7068681319	7,6503626374
2038	2287	3107		-0,0682747253	1,7212417582	7,6144285714
2045	2293	3100		-0,017967033	1,7643626374	7,5641208791
2036	2273	3097		-0,0826483516	1,6206263736	7,5425604396
2047	2275	3097		-0,0035934066	1,635	7,5425604396
2037	2274	3105		-0,0754615385	1,6278131868	7,6000549451
2041	2275	3099		-0,0467142857	1,635	7,5569340659
2031	2268	3100		-0,1185824176	1,5846923077	7,5641208791
2045	2295	3105		-0,017967033	1,7787362637	7,6000549451
2027	2273	3094		-0,1473296703	1,6206263736	7,521
2047	2284	3103		-0,0035934066	1,6996813187	7,5856813187
2031	2271	3095		-0,1185824176	1,6062527473	7,5281868132
2040	2284	3099		-0,0539010989	1,6996813187	7,5569340659
2030	2265	3103		-0,1257692308	1,5631318681	7,5856813187
2055	2279	3106		0,0539010989	1,6637472527	7,6072417582
2033	2277	3103		-0,1042087912	1,6493736264	7,5856813187
